domain,dimension,indicator,indCode,intercept,slope,stdErrorIntercept,stdErrorSlope,pValIntercept,pValSlope,adjr2,lmPval
ecological,climate change,co2_ppm,CC1,1.254260869565217,0.03128176171654433,0.004838024191236556,3.7663967247055646e-4,2.6883484203837635e-38,6.295615371390849e-28,0.9968204015127673,6.295615371390849e-28
ecological,climate change,erf_wm2,CC2,1.611282491793478,0.05510845410177867,0.028896778934676043,0.0022496111890314236,2.6111719468059813e-24,6.274808393772964e-17,0.9645788075562798,6.274808393773007e-17
ecological,ocean acidification,omega_a,OA1,0.6497794580970385,0.012711233316148238,0.005146379930053301,4.006451341800547e-4,9.697858526353282e-32,3.1543910211399337e-19,0.9785908290727514,3.154391021139911e-19
ecological,chemical pollution,chemicalsMt_Hzd,CP1,15.139290000000004,0.81846176470588206,1.4772808764255133e-15,1.4834749533882546e-16,5.6987494166778946e-248,1.1443730917328396e-243,1,1.1443730917328396e-243
ecological,nutrient pollution,phosphorusMt,NP1,2.235553873622167,0.07139926330095196,0.011233929657669582,8.74560237728059e-4,6.929950420984731e-36,9.021096231127973e-28,0.9967096016279822,9.021096231127973e-28
ecological,nutrient pollution,nitrogenMt,NP2,2.1239285270511923,0.04648351529803645,0.0022425500315166194,1.7458228317650783e-4,4.116326087629608e-50,1.5360246888832314e-38,0.9996897609507738,1.5360246888832314e-38
ecological,freshwater disruption,blueDev,FD1,1.7939232838468728,-0.006977042296918919,0.05930790022616113,0.019588754740419864,7.115870703752209e-6,0.7397008384143801,-0.21157452918442776,0.7397008384143844
ecological,freshwater disruption,soilDev,FD2,1.396855773228228,0.025218988294723313,0.02614033763271238,0.0031777798076168717,1.2687141019557777e-16,2.4413130364941913e-6,0.8157427645469844,2.441313036494218e-6
ecological,land conversion,forestAreaMKM2,LC1,1.5449730296524595,0.0029021937846123906,1.865318818662865e-4,1.5955917081036558e-5,9.116346568604916e-64,2.9272957212027206e-32,0.9993958130023336,2.9272957212028454e-32
ecological,biodiversity breakdown,extinction1900,BB1,10,0,0,0,0,NA,NA,NA
ecological,biodiversity breakdown,hanppGtC,BB2,2.61180679785331,0.01967799642218247,9.520475301495364e-17,8.143804317141356e-18,1.1957620657724005e-301,1.3338079286202923e-281,1,1.3338079286202923e-281
ecological,air pollution,interhemAOD,AP1,0.714285714285714,5.787437586309694e-18,4.292078587175054e-17,3.3413786483740607e-18,0,0.09792918837655852,0.4989648033126294,9.941580692756404e-5
ecological,ozone depletion,totalOzone,OD1,0.4767047186344723,5.111189689365851e-4,0.08137600064305513,0.006633276366412957,9.903526671446853e-6,0.9393464077003162,-0.049688385103779265,0.9393464077003162
social,food,undernourishment,NU1,0.12626745772009262,-0.002429489570126046,0.004653181246776145,3.622496687607428e-4,7.797101760539821e-18,1.2300686713888492e-6,0.6665628167380526,1.2300686713888377e-6
social,food,foodInsecurity,NU2,0.05714265700699789,0.01068308181929862,0.017499210147595003,9.387307453921159e-4,0.017131666698050795,2.758758286692007e-5,0.9483441734469057,2.758758286692032e-5
social,health,under5death,HE1,0.6791528380644347,-0.014441916261413144,0.030182263688876644,0.002349686041419514,3.5088580026629857e-16,4.248991084442431e-6,0.6257053193950262,4.24899108444247e-6
social,health,UHCindex,HE2,0.8062655764603478,-0.027578413900066972,0.025324610312261162,0.0019715182389397332,2.936798846889104e-19,4.102872628000717e-12,0.8984657877103034,4.1028726280007315e-12
social,education,adultLiteracy,ED1,0.23919607830881573,-0.003696728852327503,0.0012727965643793608,9.908707815017463e-5,2.3039641235356068e-35,1.1113051317336663e-20,0.9844289450082218,1.1113051317336587e-20
social,education,secondarySchool,ED2,0.6359475490630812,-0.01278120761858208,0.005509640060889932,4.2892489701128406e-4,6.365542281625343e-31,1.145511445721014e-18,0.9757958540432085,1.1455114457210302e-18
social,income and work,societalPoverty,IW1,0.8559900682811166,-0.006105747755928887,0.001531894009868917,1.1925778692503135e-4,2.6707378820851436e-45,1.5483327332370448e-23,0.9916736826641114,1.5483327332370448e-23
social,income and work,youthNEET,IW2,0.24280891761787346,-0.0013211710163842942,0.005196587323925417,3.593122235839018e-4,1.5465191004452454e-18,0.0020392876518345615,0.42411766213865043,0.002039287651834608
social,water,drinkingH2O,WA1,0.3962209484175372,-0.0014583318194543243,5.701710377262917e-4,4.4387755086139794e-5,2.7428195028770445e-47,1.5362454585756133e-19,0.9800074474420533,1.536245458575657e-19
social,water,sanitation,WA2,0.6806147821624967,-0.012421938234700803,0.002506470195139167,1.951284400488168e-4,1.0164996308829885e-38,1.6412552146547406e-25,0.9945994191389056,1.6412552146547406e-25
social,energy,energyAccess,EN1,0.22228745259097665,-0.00644803138137049,0.0013862845006951182,1.0792210200986337e-4,6.443019789455788e-34,6.176296863563524e-25,0.9938730858513252,6.176296863563524e-25
social,energy,energyIndoor,EN2,0.527931254910244,-0.011600958413920493,0.004571740034146411,3.559094789563946e-4,6.305047117029359e-31,1.8086226284278506e-19,0.9796945003812747,1.8086226284278246e-19
social,connectivity,publicTrans,CO1,0.5270890540313151,NA,NA,NA,NA,NA,0,NA
social,connectivity,internet,CO2,0.9672698982720687,-0.02603816543887131,0.00869179605717317,6.766554053376602e-4,1.3689063340496863e-30,5.853822710611567e-21,0.9853505546145548,5.853822710611525e-21
social,housing,urbanSlums,HO1,0.39935578861237536,-0.003933343445885528,0.001429420398254213,1.1128022708038486e-4,5.592310164690569e-39,3.3965235169322015e-20,0.9826820796505745,3.3965235169322984e-20
social,equality,genderGapIndex,EQ1,0.4609124125517281,-0.005275010728809185,0.0010209214136097555,7.947862425670842e-5,2.3516219085782717e-43,6.86731097869548e-26,0.9950293730294196,6.86731097869548e-26
social,social cohesion,socialSupport,SC1,0.2220138120755528,7.61019152036403e-4,0.007858049596860312,5.433360583937309e-4,4.404431280990644e-15,0.18041625577269402,0.05354682601493932,0.18041625577269496
social,social cohesion,palma,SC2,0.7075903067305578,-0.002200286744167355,0.00644841384666676,5.020083371146618e-4,1.838466275771105e-30,2.600399663833512e-4,0.4528780413534066,2.600399663833478e-4
social,political voice,govRegimes,PV1,0.4252738221075145,0.010311241247015338,0.02351233178340116,0.001830432546815322,2.7716154397315098e-14,1.3664578827066371e-5,0.5828058476296876,1.3664578827066274e-5
social,peace and justice,controlCorruption,PJ1,0.8446723021255721,-0.004547689902106096,0.00775001886679177,5.358663942821311e-4,2.106074680954734e-24,2.556510291762697e-7,0.8068677261420028,2.556510291762729e-7
social,peace and justice,homicideOver5,PJ2,0.2977001614348568,-0.005288932146024598,0.009732588841609418,7.576810137151152e-4,6.692342523007386e-19,6.812418423577236e-7,0.6844804761957675,6.812418423577236e-7
