domain,dimension,date,blueDev,soilDev
ecological,freshwater disruption,1850,9.103,9.455
ecological,freshwater disruption,1851,9.901,9.665
ecological,freshwater disruption,1852,9.113,9.417
ecological,freshwater disruption,1853,9.571,9.93
ecological,freshwater disruption,1854,10.54,11.866
ecological,freshwater disruption,1855,10.374,10.434
ecological,freshwater disruption,1856,9.86,11.29
ecological,freshwater disruption,1857,10.09,10.696
ecological,freshwater disruption,1858,9.932,10.067
ecological,freshwater disruption,1859,10.511,11.07
ecological,freshwater disruption,1860,9.371,9.395
ecological,freshwater disruption,1861,12.267,10.63
ecological,freshwater disruption,1862,11.628,12.413
ecological,freshwater disruption,1863,12.972,12.853
ecological,freshwater disruption,1864,11.439,11.637
ecological,freshwater disruption,1865,12.255,12.745
ecological,freshwater disruption,1866,11.037,11.603
ecological,freshwater disruption,1867,10.686,10.912
ecological,freshwater disruption,1868,10.594,10.933
ecological,freshwater disruption,1869,11.713,11.693
ecological,freshwater disruption,1870,10.068,10.81
ecological,freshwater disruption,1871,9.412,9.883
ecological,freshwater disruption,1872,10.373,10.525
ecological,freshwater disruption,1873,10.379,9.348
ecological,freshwater disruption,1874,10.74,10.921
ecological,freshwater disruption,1875,11.205,9.835
ecological,freshwater disruption,1876,9.024,9.041
ecological,freshwater disruption,1877,10.165,9.725
ecological,freshwater disruption,1878,10.038,9.522
ecological,freshwater disruption,1879,9.53,9.794
ecological,freshwater disruption,1880,9.577,9.193
ecological,freshwater disruption,1881,9.52,8.795
ecological,freshwater disruption,1882,9.043,8.971
ecological,freshwater disruption,1883,10.189,10.374
ecological,freshwater disruption,1884,11.043,10.757
ecological,freshwater disruption,1885,9.61,9.014
ecological,freshwater disruption,1886,9.368,9.219
ecological,freshwater disruption,1887,9.419,8.539
ecological,freshwater disruption,1888,9.036,9.157
ecological,freshwater disruption,1889,9.663,9.133
ecological,freshwater disruption,1890,10.184,9.544
ecological,freshwater disruption,1891,10.767,10.766
ecological,freshwater disruption,1892,10.336,9.589
ecological,freshwater disruption,1893,9.438,9.396
ecological,freshwater disruption,1894,8.954,8.799
ecological,freshwater disruption,1895,10.4,9.821
ecological,freshwater disruption,1896,11.023,10.813
ecological,freshwater disruption,1897,10.215,10.472
ecological,freshwater disruption,1898,10.24,9.453
ecological,freshwater disruption,1899,9.417,8.841
ecological,freshwater disruption,1900,10.017,9.596
ecological,freshwater disruption,1901,10.546,10.388
ecological,freshwater disruption,1902,10.256,10.287
ecological,freshwater disruption,1903,10.197,10.557
ecological,freshwater disruption,1904,9.458,9.037
ecological,freshwater disruption,1905,10.78,10.361
ecological,freshwater disruption,1906,11.245,10.953
ecological,freshwater disruption,1907,10.871,10.384
ecological,freshwater disruption,1908,9.371,9.311
ecological,freshwater disruption,1909,9.998,10.107
ecological,freshwater disruption,1910,9.984,10.244
ecological,freshwater disruption,1911,11.063,10.314
ecological,freshwater disruption,1912,11.209,11.168
ecological,freshwater disruption,1913,11.223,10.218
ecological,freshwater disruption,1914,10.702,10.707
ecological,freshwater disruption,1915,10.975,10.128
ecological,freshwater disruption,1916,11.242,9.755
ecological,freshwater disruption,1917,11.022,10.045
ecological,freshwater disruption,1918,10.599,10.385
ecological,freshwater disruption,1919,10.628,10.384
ecological,freshwater disruption,1920,11.143,10.122
ecological,freshwater disruption,1921,12.18,10.874
ecological,freshwater disruption,1922,12.74,12.265
ecological,freshwater disruption,1923,11.886,11.176
ecological,freshwater disruption,1924,10.5,10.399
ecological,freshwater disruption,1925,11.841,10.751
ecological,freshwater disruption,1926,12.524,11.205
ecological,freshwater disruption,1927,11.937,11.466
ecological,freshwater disruption,1928,11.514,11.294
ecological,freshwater disruption,1929,12.953,12.769
ecological,freshwater disruption,1930,12.732,11.725
ecological,freshwater disruption,1931,13.046,11.888
ecological,freshwater disruption,1932,13.105,12.221
ecological,freshwater disruption,1933,12.831,13.547
ecological,freshwater disruption,1934,12.967,13.144
ecological,freshwater disruption,1935,13.378,12.057
ecological,freshwater disruption,1936,13.92,13.683
ecological,freshwater disruption,1937,12.493,12.359
ecological,freshwater disruption,1938,12.212,11.438
ecological,freshwater disruption,1939,12.87,11.916
ecological,freshwater disruption,1940,11.347,11.427
ecological,freshwater disruption,1941,11.887,11.324
ecological,freshwater disruption,1942,12.696,12.528
ecological,freshwater disruption,1943,12.669,12.435
ecological,freshwater disruption,1944,13.15,12.043
ecological,freshwater disruption,1945,13.207,12.732
ecological,freshwater disruption,1946,12.096,12.203
ecological,freshwater disruption,1947,13.847,12.714
ecological,freshwater disruption,1948,13.086,13.053
ecological,freshwater disruption,1949,12.691,11.649
ecological,freshwater disruption,1950,12.582,12.437
ecological,freshwater disruption,1951,13.913,13.957
ecological,freshwater disruption,1952,14.456,14.555
ecological,freshwater disruption,1953,12.554,12.914
ecological,freshwater disruption,1954,13.094,12.463
ecological,freshwater disruption,1955,14.537,12.998
ecological,freshwater disruption,1956,14.346,13.148
ecological,freshwater disruption,1957,14.046,13.728
ecological,freshwater disruption,1958,13.054,12.469
ecological,freshwater disruption,1959,14.343,12.693
ecological,freshwater disruption,1960,15.13,14.479
ecological,freshwater disruption,1961,14.709,14.353
ecological,freshwater disruption,1962,13.144,12.866
ecological,freshwater disruption,1963,13.964,13.153
ecological,freshwater disruption,1964,13.207,12.446
ecological,freshwater disruption,1965,14.008,12.721
ecological,freshwater disruption,1966,15.828,14.264
ecological,freshwater disruption,1967,13.902,13.608
ecological,freshwater disruption,1968,13.932,12.637
ecological,freshwater disruption,1969,13.175,12.252
ecological,freshwater disruption,1970,13.801,12.527
ecological,freshwater disruption,1971,13.639,12.643
ecological,freshwater disruption,1972,13.691,12.757
ecological,freshwater disruption,1973,14.294,14.103
ecological,freshwater disruption,1974,14.542,11.984
ecological,freshwater disruption,1975,15.83,14.477
ecological,freshwater disruption,1976,16.691,15.142
ecological,freshwater disruption,1977,16.104,13.717
ecological,freshwater disruption,1978,16.866,13.027
ecological,freshwater disruption,1979,15.954,13.682
ecological,freshwater disruption,1980,15.389,13.44
ecological,freshwater disruption,1981,15.668,13.815
ecological,freshwater disruption,1982,16.322,13.775
ecological,freshwater disruption,1983,18.105,14.491
ecological,freshwater disruption,1984,17.409,14.184
ecological,freshwater disruption,1985,16.501,14.829
ecological,freshwater disruption,1986,16.727,14.29
ecological,freshwater disruption,1987,16.621,13.81
ecological,freshwater disruption,1988,16.367,14.726
ecological,freshwater disruption,1989,17.441,16.841
ecological,freshwater disruption,1990,18.478,15.576
ecological,freshwater disruption,1991,18.811,14.661
ecological,freshwater disruption,1992,18.046,15.038
ecological,freshwater disruption,1993,18.631,14.657
ecological,freshwater disruption,1994,16.952,14.35
ecological,freshwater disruption,1995,16.634,15.346
ecological,freshwater disruption,1996,18.964,15.206
ecological,freshwater disruption,1997,17.822,15.008
ecological,freshwater disruption,1998,17.705,15.327
ecological,freshwater disruption,1999,18.497,15.318
ecological,freshwater disruption,2000,17.826,15.434
ecological,freshwater disruption,2001,18.639,16.371
ecological,freshwater disruption,2002,19.002,15.837
ecological,freshwater disruption,2003,17.695,16.021
ecological,freshwater disruption,2004,16.962,16.015
ecological,freshwater disruption,2005,18.596,17.355
ecological,freshwater disruption,2006,,16.83
ecological,freshwater disruption,2007,,17.016
ecological,freshwater disruption,2008,,18.441
ecological,freshwater disruption,2009,,18.957
ecological,freshwater disruption,2010,,18.677
ecological,freshwater disruption,2011,,18.211
ecological,freshwater disruption,2012,,17.812
ecological,freshwater disruption,2013,,19.739
ecological,freshwater disruption,2014,,19.253
ecological,freshwater disruption,2015,,
ecological,freshwater disruption,2016,,
ecological,freshwater disruption,2017,,
ecological,freshwater disruption,2018,,
ecological,freshwater disruption,2019,,
ecological,freshwater disruption,2020,,
ecological,freshwater disruption,2021,,
